Question,Answer
Cashew nut,Anacardium occidentale
Sugarcane,Saccharum officinarum
Palmyra,Borassus flabellifer
Groundnut,Arachis hypogaea
Sesame,Sesamum indicum
Coffee,Coffea arabica
Rice,Oryza sativa
Wheat,Triticum aestivum
Ragi(finger millet),Eleusine coracana
Sorghum,Sorghum vulgare
Foxtail millet,Setaria italica
Kodo millet,Paspalum scrobiculatum
Black gram,Vigna mungo
Red gram(Pigeon pea),Cajanus cajan
Green gram,Vigna radiata
Lady's finger(Okra),Abelmoschus esculentus
Mango,Mangifera indica
Cardamom,Elettaria cardamomum
Black pepper,Piper nigrum
Turmeric,Curcuma longa
Chillies/Red pepper,Capsicum annuum & C.frutescens
Tamarind,Tamarindus indica
Cotton,Gossypium spp.
Jute,Corchorus spp.
Timber,Tectona grandis
Rubber,Hevea brasiliensis
Henna,Lawsonia inermis
Aloe,Aloe vera
Jasmine,Jasminum grandiflorum
Keezhanelli,Phyllanthus amarus
Nilavembu,Andrographis paniculata
Opium poppy,Papaver somniferum
Cannabis/Marijuana,Cannabis sativa
Holy basil,Ocimum sanctum
Indian gooseberry,Phyllanthus emblica
Indian Acalypha,Acalypha indica
Vilvam,Aegle marmelos
Veldt grape,Cissus quadrangularis
